# map=225x180 speed=10 mode=Procedural template=OpenField density=0.2000 seed=1050142638 symmetry=Mirror genW=75 genH=30
tick,gold0,gold1,unit_count,units
0,1000,1000,4,0:PAWN:1:7:7:200.0:1:IDLE|1:PAWN:0:67:22:200.0:1:IDLE|2:MINE:1:12:14:10000.0:1:IDLE|3:MINE:0:60:18:10000.0:1:IDLE
50,0,0,13,0:PAWN:1:5:10:200.0:1:BUILD|1:PAWN:0:66:23:200.0:1:BUILD|2:MINE:1:12:14:9950.0:1:IDLE|3:MINE:0:60:18:9950.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:0:IDLE|7:ARCHERY:1:2:13:4000.0:0:IDLE|8:PAWN:0:63:20:200.0:1:GATHER|9:PAWN:1:11:11:200.0:1:GATHER|10:PAWN:0:63:19:200.0:1:GATHER|11:PAWN:1:10:11:200.0:1:GATHER|12:PAWN:1:8:8:200.0:1:GATHER
100,200,300,18,0:PAWN:1:11:10:200.0:1:GATHER|1:PAWN:0:62:18:200.0:1:GATHER|2:MINE:1:12:14:9590.0:1:IDLE|3:MINE:0:60:18:9470.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:IDLE|7:ARCHERY:1:2:13:4000.0:1:IDLE|8:PAWN:0:63:20:200.0:1:GATHER|9:PAWN:1:13:11:200.0:1:GATHER|10:PAWN:0:64:18:200.0:1:GATHER|11:PAWN:1:10:11:200.0:1:GATHER|12:PAWN:1:12:9:200.0:1:GATHER|13:PAWN:0:63:18:200.0:1:GATHER|14:PAWN:1:13:8:200.0:1:GATHER|15:PAWN:0:61:15:200.0:1:GATHER|16:PAWN:0:61:20:200.0:1:GATHER|17:WARRIOR:0:66:26:1500.0:1:IDLE
150,400,40,22,0:PAWN:1:14:11:200.0:1:BUILD|1:PAWN:0:69:17:200.0:1:BUILD|2:MINE:1:12:14:9200.0:1:IDLE|3:MINE:0:60:18:8800.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:IDLE|7:ARCHERY:1:2:13:4000.0:1:IDLE|8:PAWN:0:63:20:200.0:1:GATHER|9:PAWN:1:11:10:200.0:1:GATHER|10:PAWN:0:62:18:200.0:1:GATHER|11:PAWN:1:11:9:200.0:1:GATHER|12:PAWN:1:13:11:200.0:1:GATHER|13:PAWN:0:62:18:200.0:1:GATHER|14:PAWN:1:11:12:200.0:1:GATHER|15:PAWN:0:62:15:200.0:1:GATHER|16:PAWN:0:63:19:200.0:1:GATHER|17:WARRIOR:0:66:26:1500.0:1:IDLE|18:MONASTERY:1:16:13:3500.0:0:IDLE|19:ARCHERY:0:70:17:4000.0:0:IDLE|20:ARCHER:1:4:14:600.0:1:IDLE|21:ARCHER:1:5:12:600.0:1:IDLE
200,520,40,28,0:PAWN:1:14:10:200.0:1:GATHER|1:PAWN:0:67:14:200.0:1:BUILD|2:MINE:1:12:14:8820.0:1:IDLE|3:MINE:0:60:18:8330.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:IDLE|7:ARCHERY:1:2:13:4000.0:1:TRAIN|8:PAWN:0:63:17:200.0:1:GATHER|9:PAWN:1:10:10:200.0:1:GATHER|10:PAWN:0:64:17:200.0:1:GATHER|11:PAWN:1:11:10:200.0:1:GATHER|12:PAWN:1:13:11:200.0:1:GATHER|13:PAWN:0:64:18:200.0:1:GATHER|14:PAWN:1:14:9:200.0:1:GATHER|15:PAWN:0:63:19:200.0:1:GATHER|16:PAWN:0:62:18:200.0:1:GATHER|17:WARRIOR:0:66:26:1500.0:1:IDLE|18:MONASTERY:1:16:13:3500.0:1:IDLE|19:ARCHERY:0:70:17:4000.0:1:IDLE|20:ARCHER:1:4:14:600.0:1:IDLE|21:ARCHER:1:5:12:600.0:1:IDLE|22:ARCHER:1:3:13:600.0:1:IDLE|23:MONASTERY:0:64:13:3500.0:0:IDLE|24:ARCHER:1:1:10:600.0:1:IDLE|25:ARCHER:0:73:14:600.0:1:IDLE|26:ARCHER:1:5:10:600.0:1:IDLE|27:ARCHER:1:2:10:600.0:1:IDLE
250,310,10,39,0:PAWN:1:17:8:200.0:1:GATHER|1:PAWN:0:63:16:200.0:1:GATHER|2:MINE:1:12:14:8520.0:1:IDLE|3:MINE:0:60:18:7820.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:TRAIN|7:ARCHERY:1:2:13:4000.0:1:IDLE|8:PAWN:0:63:19:200.0:1:GATHER|9:PAWN:1:14:16:200.0:1:GATHER|10:PAWN:0:62:18:200.0:1:GATHER|11:PAWN:1:15:14:200.0:1:GATHER|12:PAWN:1:10:12:200.0:1:GATHER|13:PAWN:0:64:17:200.0:1:GATHER|14:PAWN:1:13:11:200.0:1:GATHER|15:PAWN:0:63:18:200.0:1:GATHER|16:PAWN:0:64:18:200.0:1:GATHER|17:WARRIOR:0:46:23:1500.0:1:ATTACK|18:MONASTERY:1:16:13:3500.0:1:IDLE|19:ARCHERY:0:70:17:4000.0:1:TRAIN|20:ARCHER:1:32:19:600.0:1:ATTACK|21:ARCHER:1:18:10:600.0:1:ATTACK|22:ARCHER:1:22:13:600.0:1:ATTACK|23:MONASTERY:0:64:13:3500.0:1:IDLE|24:ARCHER:1:21:13:600.0:1:ATTACK|25:ARCHER:0:54:11:600.0:1:ATTACK|26:ARCHER:1:28:14:600.0:1:ATTACK|27:ARCHER:1:26:11:600.0:1:ATTACK|28:ARCHER:1:20:13:600.0:1:ATTACK|29:MONK:1:19:12:400.0:1:IDLE|30:ARCHER:1:25:19:600.0:1:ATTACK|31:ARCHER:0:50:10:600.0:1:ATTACK|32:MONK:0:67:18:400.0:1:MOVE|33:WARRIOR:0:48:23:1500.0:1:ATTACK|34:MONK:1:15:13:400.0:1:IDLE|35:ARCHER:1:5:12:600.0:1:IDLE|36:ARCHER:0:65:18:600.0:1:ATTACK|37:MONK:0:64:16:400.0:1:MOVE|38:WARRIOR:0:63:25:1500.0:1:ATTACK
300,70,20,47,0:PAWN:1:12:9:200.0:1:GATHER|1:PAWN:0:63:20:200.0:1:GATHER|2:MINE:1:12:14:8240.0:1:IDLE|3:MINE:0:60:18:7310.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:TRAIN|6:BARRACKS:0:66:26:4000.0:1:TRAIN|7:ARCHERY:1:2:13:4000.0:1:IDLE|8:PAWN:0:64:17:200.0:1:GATHER|9:PAWN:1:10:4:200.0:1:GATHER|10:PAWN:0:63:19:200.0:1:GATHER|11:PAWN:1:13:8:175.0:1:GATHER|12:PAWN:1:13:9:200.0:1:GATHER|13:PAWN:0:63:16:105.0:1:GATHER|17:WARRIOR:0:14:11:675.0:1:ATTACK|18:MONASTERY:1:16:13:3500.0:1:IDLE|19:ARCHERY:0:70:17:4000.0:1:IDLE|20:ARCHER:1:22:15:444.0:1:ATTACK|21:ARCHER:1:32:9:467.0:1:ATTACK|22:ARCHER:1:46:15:600.0:1:ATTACK|23:MONASTERY:0:64:13:3500.0:1:IDLE|24:ARCHER:1:51:16:600.0:1:ATTACK|27:ARCHER:1:53:16:330.0:1:ATTACK|28:ARCHER:1:53:17:600.0:1:ATTACK|29:MONK:1:22:12:400.0:1:HEAL|30:ARCHER:1:55:18:486.0:1:ATTACK|31:ARCHER:0:31:4:524.0:1:ATTACK|32:MONK:0:52:15:286.0:1:HEAL|33:WARRIOR:0:14:9:1500.0:1:ATTACK|34:MONK:1:19:13:400.0:1:HEAL|35:ARCHER:1:6:12:600.0:1:ATTACK|36:ARCHER:0:30:19:600.0:1:ATTACK|37:MONK:0:50:17:400.0:1:HEAL|38:WARRIOR:0:23:16:1500.0:1:ATTACK|39:ARCHER:0:36:20:600.0:1:ATTACK|40:WARRIOR:0:27:18:1500.0:1:ATTACK|41:ARCHER:0:62:18:600.0:1:ATTACK|42:WARRIOR:0:54:17:1443.0:1:ATTACK|43:ARCHER:1:5:11:600.0:1:ATTACK|44:ARCHER:0:63:18:600.0:1:ATTACK|45:ARCHER:1:3:14:600.0:1:IDLE|46:WARRIOR:0:58:19:1500.0:1:ATTACK|47:PAWN:0:65:22:200.0:1:GATHER|48:ARCHER:0:63:14:600.0:1:ATTACK|49:ARCHER:1:1:14:600.0:1:IDLE|50:PAWN:0:64:18:200.0:1:GATHER|51:WARRIOR:0:69:24:1500.0:1:ATTACK
350,70,20,38,2:MINE:1:12:14:8030.0:1:IDLE|3:MINE:0:60:18:6910.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:TRAIN|7:ARCHERY:1:2:13:4000.0:1:IDLE|8:PAWN:0:64:17:10.0:1:GATHER|9:PAWN:1:12:11:75.0:1:GATHER|10:PAWN:0:64:18:29.0:1:GATHER|18:MONASTERY:1:16:13:3500.0:1:IDLE|19:ARCHERY:0:70:17:4000.0:1:IDLE|21:ARCHER:1:32:9:258.0:1:ATTACK|23:MONASTERY:0:64:13:3500.0:1:IDLE|32:MONK:0:38:14:172.0:1:HEAL|33:WARRIOR:0:11:10:574.0:1:ATTACK|35:ARCHER:1:6:12:600.0:1:ATTACK|36:ARCHER:0:29:18:600.0:1:ATTACK|37:MONK:0:36:11:286.0:1:HEAL|38:WARRIOR:0:12:14:1500.0:1:ATTACK|39:ARCHER:0:29:17:600.0:1:ATTACK|40:WARRIOR:0:14:10:1486.0:1:ATTACK|41:ARCHER:0:43:12:600.0:1:ATTACK|42:WARRIOR:0:37:10:1259.0:1:ATTACK|43:ARCHER:1:5:11:600.0:1:ATTACK|44:ARCHER:0:44:13:600.0:1:ATTACK|45:ARCHER:1:3:14:600.0:1:IDLE|46:WARRIOR:0:39:11:1500.0:1:ATTACK|47:PAWN:0:63:19:200.0:1:GATHER|48:ARCHER:0:43:10:600.0:1:ATTACK|49:ARCHER:1:1:14:600.0:1:IDLE|50:PAWN:0:59:19:200.0:1:GATHER|51:WARRIOR:0:41:11:1500.0:1:ATTACK|53:PAWN:0:62:18:200.0:1:GATHER|55:WARRIOR:0:52:18:1500.0:1:ATTACK|56:PAWN:0:63:18:200.0:1:GATHER|57:PAWN:1:10:10:200.0:1:GATHER|58:PAWN:1:9:10:200.0:1:GATHER|59:WARRIOR:0:59:23:1500.0:1:ATTACK
400,260,20,37,2:MINE:1:12:14:7980.0:1:IDLE|3:MINE:0:60:18:6270.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|5:BASE:1:7:8:3941.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:TRAIN|7:ARCHERY:1:2:13:4000.0:1:IDLE|8:PAWN:0:64:18:10.0:1:GATHER|10:PAWN:0:62:20:29.0:1:GATHER|18:MONASTERY:1:16:13:3500.0:1:IDLE|19:ARCHERY:0:70:17:4000.0:1:IDLE|23:MONASTERY:0:64:13:3500.0:1:IDLE|32:MONK:0:22:13:172.0:1:HEAL|36:ARCHER:0:20:12:600.0:1:ATTACK|37:MONK:0:25:10:191.0:1:HEAL|38:WARRIOR:0:6:11:404.0:1:ATTACK|39:ARCHER:0:20:13:600.0:1:ATTACK|40:WARRIOR:0:12:9:1486.0:1:ATTACK|41:ARCHER:0:21:9:600.0:1:ATTACK|42:WARRIOR:0:13:9:1259.0:1:ATTACK|43:ARCHER:1:5:11:194.0:1:ATTACK|44:ARCHER:0:21:8:600.0:1:ATTACK|45:ARCHER:1:3:14:600.0:1:ATTACK|46:WARRIOR:0:13:8:1500.0:1:ATTACK|47:PAWN:0:63:19:200.0:1:GATHER|48:ARCHER:0:21:10:600.0:1:ATTACK|49:ARCHER:1:1:14:600.0:1:IDLE|50:PAWN:0:59:16:200.0:1:GATHER|51:WARRIOR:0:13:7:1500.0:1:ATTACK|53:PAWN:0:63:20:200.0:1:GATHER|55:WARRIOR:0:17:10:1500.0:1:ATTACK|56:PAWN:0:63:18:200.0:1:GATHER|59:WARRIOR:0:18:10:1500.0:1:ATTACK|60:WARRIOR:0:28:17:1500.0:1:ATTACK|61:ARCHER:0:35:9:600.0:1:ATTACK|62:WARRIOR:0:44:20:1500.0:1:ATTACK|63:WARRIOR:0:57:23:1500.0:1:ATTACK|64:ARCHER:0:66:18:600.0:1:ATTACK
450,70,20,41,2:MINE:1:12:14:7980.0:1:IDLE|3:MINE:0:60:18:5750.0:1:IDLE|4:BASE:0:64:22:8000.0:1:IDLE|6:BARRACKS:0:66:26:4000.0:1:TRAIN|7:ARCHERY:1:2:13:1925.0:1:IDLE|8:PAWN:0:63:19:10.0:1:GATHER|10:PAWN:0:65:17:29.0:1:GATHER|18:MONASTERY:1:16:13:232.0:1:IDLE|19:ARCHERY:0:70:17:4000.0:1:IDLE|23:MONASTERY:0:64:13:3500.0:1:IDLE|32:MONK:0:30:11:172.0:1:MOVE|36:ARCHER:0:20:12:600.0:1:ATTACK|37:MONK:0:29:14:191.0:1:MOVE|39:ARCHER:0:20:13:600.0:1:ATTACK|40:WARRIOR:0:4:10:1486.0:1:ATTACK|41:ARCHER:0:21:9:600.0:1:ATTACK|42:WARRIOR:0:3:9:1259.0:1:ATTACK|44:ARCHER:0:21:8:600.0:1:ATTACK|45:ARCHER:1:3:14:600.0:1:IDLE|46:WARRIOR:0:3:10:1500.0:1:ATTACK|47:PAWN:0:70:19:200.0:1:GATHER|48:ARCHER:0:21:10:600.0:1:ATTACK|49:ARCHER:1:1:14:600.0:1:IDLE|50:PAWN:0:62:18:200.0:1:GATHER|51:WARRIOR:0:4:8:1500.0:1:ATTACK|53:PAWN:0:64:17:200.0:1:GATHER|55:WARRIOR:0:5:11:1500.0:1:ATTACK|56:PAWN:0:63:18:200.0:1:GATHER|59:WARRIOR:0:5:10:1500.0:1:ATTACK|60:WARRIOR:0:5:12:1500.0:1:ATTACK|61:ARCHER:0:22:9:600.0:1:ATTACK|62:WARRIOR:0:5:15:1500.0:1:ATTACK|63:WARRIOR:0:23:10:1500.0:1:ATTACK|64:ARCHER:0:30:19:600.0:1:ATTACK|65:WARRIOR:0:27:19:1500.0:1:ATTACK|66:ARCHER:0:43:19:600.0:1:ATTACK|67:WARRIOR:0:35:22:1500.0:1:ATTACK|68:ARCHER:0:52:10:600.0:1:ATTACK|69:ARCHER:0:58:19:600.0:1:ATTACK|70:WARRIOR:0:44:24:1500.0:1:ATTACK|71:WARRIOR:0:58:23:1500.0:1:ATTACK
